用户,评论内容
脱钩者,你知道我有多久没看到这样的国产剧了吗
天马星,一群电影咖来拍电视剧简直就是降维打击。秦昊演的张东升在电梯里被小孩滋水，嘴角微微一撇，怒而不发的样子让我想起了安嘉和这个恶魔。一个细节：从朱朝阳选择相信的笛卡尔故事结局，就已经揭示了朱朝阳是怎样的人了。
春日三富论,我，笛卡尔，一个感情失败的秃子，追不回我的公主，拿不到我的相机。
杜小艮,秦昊早该演变态的反派啊，这下要成多少孩子的童年阴影……（6.19刷完记，没烂尾，还成了“剧版《少年派的奇幻漂流》”，稳。
寂语,我以为张东升给他爸妈拍照会意外拍到不得了的画面，没想到他直接给我看了个不得了的画面。秦昊，算你狠。
哼哼.floweray,说那么多，就没一个人看出来，这剧很娄烨吗？
小田切梨,这个开头快被吹上天了，这么硬的悬念不噎吗？没头没脑的预叙，要放回到正序时间线里去，想想看，第一集的节奏还算得上悬疑剧？凶手、证人和警察全知式的铺垫方式，国产生活剧差不多。不过，要按正序剪，秦昊杀人动机又很成问题，这种虚张声势姑且理解为一种藏拙吧，硬把悬念先给你提在那儿，拍起来就偷懒多了。制作上硬伤也不少，同期声、打光、道具（相机中途不见了）乃至化妆（小孩脸时脏时不脏）都有小穿帮，秦昊和三孩子的第一个同框镜头（喝汽水）真硬，这剧就是个硬。看了剧透，原著故事太奇情了，不追了。
把噗,如果所有人都在夸一部剧的表演，这部剧肯定出什么问题了。
门前大桥下,这是一部全程无推理的推理剧，也是这部剧高级的地方，它的悬疑推理在于人物心理的刻画，既单纯又恐怖，既可爱又残忍，没有复杂的推理而是一步步展现出人性动机，这可能就是社会派的精彩之处。
弗洛伊彪之怒,秦昊演坏男人永远让人恨不起来！加上影帝王景春张颂文这阵容妥妥的文艺电影冲奖标配啊。。。（很想连麦一下娄烨导演，问问他看到秃头的秦昊心生怜爱和疼惜了吗？还是会给一个三分薄凉三分讥笑四分漫不经心的眼神哈哈哈哈）
青忧,秦昊的是影帝级别的演技担当，看他演技真的太爽了。我单方面给他搬一个痞帅影帝吧。虽然没得过影帝，但他的确是非常非常有实力、有魅力的男演员了，近年来我最最喜欢的男演员！
小安,集齐刷口碑利器：年代、方言、涉案、小城、孩子和不红的中年演员。但还是忍不住产生十万个为什么，朱朝阳把小伙伴带到妈妈工作的景区就这么不怕被妈妈撞见吗？两个山头离得那么远，这是用了多小的光圈才能让三个孩子看出那是把人推下山而且推人的就是停车场见过的人，秦昊为什么一点也不挣扎就认了，以三个小孩面对他时所展露的智商，他说自己是去拉人没拉住我觉得也是可以糊弄过去的……还有民警同志啊，发现小女孩坠楼不上去查看还立刻把现场所有人都赶走，这是保护现场还是保护可能存在的疑犯呐（扶额
